Name,Type,MV,Colors,Cost,Sub-types,Produced,Flags,Power,FlagsVer
"Bilbo, Thief in the Night",Creature,2,U,{1}{U},Halfling;Rogue,,,2,3
Bile-Vial Boggart,Creature,1,B,{B},Goblin;Assassin,,,1,3
Binding Grasp,Enchantment,4,U,{3}{U},Aura,,,,3
Bionic Blow,Sorcery,2,R,{X}{R}{R},,,,,3
"Bitterthorn, Nissa's Animus",Artifact,3,,{3},Equipment,,fetch:basic;ramp,,3
"Black Cat, Cunning Thief",Creature,5,B,{3}{B}{B},Human;Rogue;Villain,,,2,3
"Black Panther, Vanguard",Creature,4,G W,{2}{G}{W},Human;Warrior;Hero,,,4,3
Black Tom Cassidy,Creature,2,G,{1}{G},Mutant;Villain,G,dork;ramp,1,3
"Black Widow, Agile Avenger",Creature,3,R W,{1}{R}{W},Human;Spy;Hero,,draw,2,3
"Black Widow, Double Agent",Creature,3,B W,{1}{W}{B},Human;Hero;Villain,,,3,3
Blasphemous Act,Sorcery,9,R,{8}{R},,,,,3
Blastoderm,Creature,4,G,{2}{G}{G},Beast,,,5,3
Blaze,Sorcery,1,R,{X}{R},,,,,3
Blazing Crescendo,Instant,2,R,{1}{R},,,,,3
Blessed Reversal,Instant,2,W,{1}{W},,,,,3
Blessed Wind,Sorcery,9,W,{7}{W}{W},,,,,3
Blessed Wine,Instant,2,W,{1}{W},,,draw,,3
Blight Mound,Enchantment,3,B,{2}{B},,,,,3
Blight Rot,Instant,3,B,{2}{B},,,,,3
Blighted Blackthorn,Creature,5,B,{4}{B},Treefolk;Warlock,,draw,3,3
Blighted Shaman,Creature,2,B,{1}{B},Human;Cleric;Shaman,,,1,3
Blockade Runner,Creature,4,U,{3}{U},Merfolk,,,2,3
Blood Artist,Creature,2,B,{1}{B},Vampire,,,0,3
Bloodchief Ascension,Enchantment,1,B,{B},,,,,3
Bloodfell Caves,Land,0,B R,,,B R,etb-tapped,,3
Bloodforged Battle-Axe,Artifact,1,,{1},Equipment,,,,3
Bloodghast,Creature,2,B,{B}{B},Vampire;Spirit,,,2,3
Bloodgift Demon,Creature,5,B,{3}{B}{B},Demon,,,5,3
Bloodsoaked Insight,Sorcery,7,B R,{5}{B/R}{B/R},,B R,etb-tapped,,3
Blossoming Bogbeast,Creature,5,G,{4}{G},Beast,,,3,3
Blossoming Sands,Land,0,G W,,,W G,etb-tapped,,3
Blue Mage's Cane,Artifact,3,U,{2}{U},Equipment,,,,3
"Bofur, Reliable Guardian // Concerted Care",Creature,1,W,{W} // {1}{W},Dwarf;Scout,,,1,3
Bog Wraith,Creature,4,B,{3}{B},Wraith,,,3,3
Bogwater Lumaret,Creature,2,B G,{B}{G},Spirit;Frog,,,2,3
Bojuka Bog,Land,0,B,,,B,etb-tapped,,3
Bola Warrior,Creature,2,R,{1}{R},Human;Spellshaper;Warrior,,,1,3
Bold Biochemist,Creature,2,U,{1}{U},Human;Scientist,,draw,1,3
Bolg of the North,Creature,5,B R,{3}{B}{R},Goblin;Soldier,,,5,3
Bolg's Company,Creature,2,B R,{B}{R},Goblin;Soldier,B R,dork;mana2;ramp,2,3
Bombard,Instant,3,R,{2}{R},,,,,3
"Bombur, Gentle Dreamer",Creature,3,R,{2}{R},Dwarf;Bard,,,5,3
Bonders' Enclave,Land,0,,,,C,draw,,3
Bone Shredder,Creature,3,B,{2}{B},Phyrexian;Minion,,,1,3
"Bonny Pall, Clearcutter",Creature,6,G U,{3}{G}{U}{U},Giant;Scout,,draw,6,3
Boomerang,Instant,2,U,{U}{U},,,,,3
Boosted Sloop,Artifact,3,R U,{1}{U}{R},Vehicle,,draw,3,3
Boros Charm,Instant,2,R W,{R}{W},,,,,3
Borough Backup,Sorcery,5,W,{4}{W},,,fetch:basic,,3
Borrowed Knowledge,Sorcery,4,R W,{2}{R}{W},,,,,3
Bot Bashing Time,Sorcery,4,R,{3}{R},,,,,3
Bothersome Noisemaker,Creature,2,R,{1}{R},Goblin;Bard,,,2,3
Boughside Wanderers,Creature,6,G,{4}{G}{G},Elf;Scout,,,4,3
Bounce Off,Instant,1,U,{U},,,,,3
Bouncing Beebles,Creature,3,U,{2}{U},Beeble,,,2,3
Brainstealer Dragon,Creature,7,B,{5}{B}{B},Dragon;Horror,,,6,3
Brainstorm,Instant,1,U,{U},,,draw,,3
Brambleback Brute,Creature,3,R,{2}{R},Giant;Warrior,,,4,3
Branded Brawlers,Creature,1,R,{R},Human;Soldier,,,2,3
Brash Taunter,Creature,5,R,{4}{R},Goblin,,,1,3
Brass Knuckles,Artifact,4,,{4},Equipment,,,,3
Brave Brawler,Creature,2,W,{1}{W},Human;Warrior;Hero,,,2,3
Brazen Scourge,Creature,3,R,{1}{R}{R},Gremlin,,,3,3
Breach,Instant,3,B,{2}{B},,,,,3
Breaching Dragonstorm,Enchantment,5,R,{4}{R},,,,,3
Break Down,Instant,3,G,{2}{G},,,removal,,3
Breath of Life,Sorcery,4,W,{3}{W},,,,,3
Breath of Malfegor,Instant,5,B R,{3}{B}{R},,,,,3
Bribery,Sorcery,5,U,{3}{U}{U},,,,,3
Bridled Bighorn,Creature,4,W,{3}{W},Sheep;Mount,,,3,3
Brightfield Glider,Creature,1,W,{W},Possum;Mount,,,1,3
Bring to Light,Sorcery,5,G U,{3}{G}{U},,,,,3
Brink of Madness,Enchantment,4,B,{2}{B}{B},,,,,3
Broken Wings,Instant,3,G,{2}{G},,,removal,,3
Bronze Guardian,Creature,5,W,{4}{W},Golem,,,*,3
Broodcaller Scourge,Creature,7,G,{5}{G}{G},Dragon,,,5,3
Brotherhood Outcast,Creature,3,W,{2}{W},Human;Soldier,,,3,3
Brotherhood's End,Sorcery,3,R,{1}{R}{R},,,wipe,,3
Bruce Banner // The Incredible Hulk,Creature,1,G R U,{U} // {2}{R}{R}{G}{G},Human;Scientist;Hero,,draw,1,3
Brush Off,Instant,4,U,{2}{U}{U},,,counter,,3
Brushland,Land,0,G W,,,W G C,,,3
Bubble Smuggler,Creature,2,U,{1}{U},Octopus;Fish,,,2,3
"Bugenhagen, Wise Elder",Creature,2,G,{1}{G},Human;Shaman,W U B R G,dork;draw;ramp,1,3
Bulk Up,Instant,2,R,{1}{R},,,,,3
"Bullseye, Death Dealer",Creature,3,B R,{2}{B/R},Human;Assassin;Villain,,,2,3
Buoyancy,Enchantment,2,U,{1}{U},Aura,,,,3
Buried Ruin,Land,0,,,,C,,,3
"Burn, Burn, Tree and Fern",Enchantment,4,R,{3}{R},Saga,R,removal,,3
Burner Rocket,Artifact,2,R,{1}{R},Vehicle,,,3,3
Burning Curiosity,Sorcery,3,R,{2}{R},,,,,3
Burnished Hart,Creature,3,,{3},Elk,,fetch:basic;ramp,2,3
Burrog Banemaker,Creature,1,B,{B},Frog;Warlock,,,1,3
Burrog Barrage,Instant,2,G,{1}{G},,,,,3
Burrowing,Enchantment,1,R,{R},Aura,,,,3
Burst of Energy,Instant,1,W,{W},,,,,3
Cackling Witch,Creature,2,B,{1}{B},Human;Spellshaper,,,1,3
Cactarantula,Creature,6,G,{4}{G}{G},Plant;Spider,,draw,6,3
"Cait Sith, Fortune Teller",Creature,4,R,{3}{R},Cat;Moogle,,,3,3
"Cait, Cage Brawler",Creature,2,G R,{R}{G},Human;Warrior,,draw,1,3
"Calamity, Galloping Inferno",Creature,6,R,{4}{R}{R},Horse;Mount,,,4,3
Call Damage Control,Sorcery,2,G,{1}{G},,,,,3
Call the Mountain Chocobo,Sorcery,4,R,{3}{R},,,fetch:mountain,,3
Call the Spirit Dragons,Enchantment,5,B G R U W,{W}{U}{B}{R}{G},,,,,3
Calming Verse,Sorcery,4,G,{3}{G},,,wipe,,3
Camera Launcher,Creature,3,,{3},Construct,,,2,3
Campus Composer // Aqueous Aria,Creature,4,U,{3}{U} // {4}{U},Merfolk;Bard,,,3,3
Cannibalize,Sorcery,2,B,{1}{B},,,,,3
Canopy Vista,Land,0,G W,,Forest;Plains,W G,etb-tapped-cond,,3
Cantankerous Keepers,Creature,6,G,{5}{G},Elf;Soldier,,,4,3
Canyon Vaulter,Creature,2,W,{1}{W},Kor;Pilot,,,3,3
Capsize,Instant,3,U,{1}{U}{U},,,,,3
Captain America's Motorcycle,Artifact,2,R,{1}{R},Vehicle,,,3,3
Captain America's Shield,Artifact,2,,{2},Equipment,,,,3
"Captain America, Living Legend",Creature,3,U W,{1}{W}{U},Human;Soldier;Hero,,,3,3
"Captain America, Team Leader",Creature,3,R U W,{R}{W}{U},Human;Soldier;Hero,,,3,3
"Captain America, Wings of Freedom",Creature,3,W,{2}{W},Human;Soldier;Hero,,,3,3
"Captain Howler, Sea Scourge",Creature,4,R U,{2}{U}{R},Shark;Pirate,,draw,5,3
"Captain Mar-Vell, Space-Born",Creature,5,W,{4}{W},Kree;Soldier;Hero,,,4,3
"Captain Marvel, Apex Avenger",Creature,7,R W,{5}{R}{W},Human;Kree;Hero,,,4,3
"Carnage, Crimson Chaos",Creature,4,B R,{2}{B}{R},Symbiote;Villain,,,4,3
Carrion Wall,Creature,3,B,{1}{B}{B},Wall,,,3,3
Cartographer's Hawk,Creature,2,W,{1}{W},Bird,,fetch:plains;ramp,2,3
Case of the Burning Masks,Enchantment,3,R,{1}{R}{R},Case,,,,3
Case of the Gorgon's Kiss,Enchantment,1,B,{B},Case,,,,3
"Cass, Hand of Vengeance",Creature,4,R W,{2}{R}{W},Human;Ranger,,,4,3
Castle,Enchantment,4,W,{3}{W},,,,,3
Castle Doom,Land,0,,,,W U B R G C,mana-restricted,,3
Casualties of War,Sorcery,6,B G,{2}{B}{B}{G}{G},,,removal,,3
Cat-Gator,Creature,7,B,{6}{B},Fish;Crocodile,,,3,3
Cateran Enforcer,Creature,5,B,{3}{B}{B},Horror;Mercenary,,,4,3
Cateran Kidnappers,Creature,4,B,{2}{B}{B},Human;Mercenary,,,4,3
Cateran Summons,Sorcery,1,B,{B},,,,,3
Cathodion,Creature,3,,{3},Construct,C,mana3,3,3
Caustic Wasps,Creature,3,G,{2}{G},Insect,,,1,3
